BENE_ID,FRONTEND_USER_NAME,FRONTEND_USER_PASSWORD,total_claim_count,total_claim_line_count,carrier_claim_count,carrier_claim_line_count,inpatient_claim_count,inpatient_claim_line_count,partd_event_count,
19990000009339,BBUser09338,PW09338!,76,152,75,142,1,10,0,
19990000002240,BBUser02239,PW02239!,75,189,72,148,3,41,0,
19990000002951,BBUser02950,PW02950!,74,141,74,141,0,0,0,
19990000001582,BBUser01581,PW01581!,72,128,72,128,0,0,0,
19990000001605,BBUser01604,PW01604!,72,127,72,127,0,0,0,
19990000001706,BBUser01705,PW01705!,72,115,72,115,0,0,0,
19990000005604,BBUser05603,PW05603!,72,131,72,131,0,0,0,
19990000007138,BBUser07137,PW07137!,72,101,72,101,0,0,0,
19990000009230,BBUser09229,PW09229!,72,166,69,114,3,52,0,
19990000001529,BBUser01528,PW01528!,71,129,71,129,0,0,0,
19990000009518,BBUser09517,PW09517!,71,103,71,103,0,0,0,
19990000000133,BBUser00132,PW00132!,70,100,70,100,0,0,0,
19990000000474,BBUser00473,PW00473!,70,159,68,134,2,25,0,
19990000001745,BBUser01744,PW01744!,70,125,70,125,0,0,0,
19990000003151,BBUser03150,PW03150!,70,196,67,156,3,40,0,
19990000003173,BBUser03172,PW03172!,70,143,70,143,0,0,0,
19990000004240,BBUser04239,PW04239!,70,131,68,107,2,24,0,
19990000004886,BBUser04885,PW04885!,70,140,68,110,2,30,0,
19990000009088,BBUser09087,PW09087!,70,124,70,124,0,0,0,
19990000009786,BBUser09785,PW09785!,70,134,70,134,0,0,0,
19990000001233,BBUser01232,PW01232!,69,137,69,137,0,0,0,
19990000005009,BBUser05008,PW05008!,69,116,69,116,0,0,0,
19990000008327,BBUser08326,PW08326!,69,132,68,115,1,17,0,
19990000008891,BBUser08890,PW08890!,69,96,69,96,0,0,0,
19990000008929,BBUser08928,PW08928!,69,116,68,107,1,9,0,
19990000009348,BBUser09347,PW09347!,69,129,69,129,0,0,0,
19990000009396,BBUser09395,PW09395!,69,120,69,120,0,0,0,
19990000009445,BBUser09444,PW09444!,69,154,69,154,0,0,0,
19990000009829,BBUser09828,PW09828!,69,98,69,98,0,0,0,
19990000001348,BBUser01347,PW01347!,68,131,68,131,0,0,0,
19990000001671,BBUser01670,PW01670!,68,135,67,117,1,18,0,
19990000002964,BBUser02963,PW02963!,68,125,68,125,0,0,0,
19990000003188,BBUser03187,PW03187!,68,122,68,122,0,0,0,
19990000005038,BBUser05037,PW05037!,68,112,68,112,0,0,0,
19990000006138,BBUser06137,PW06137!,68,119,67,109,1,10,0,
19990000006158,BBUser06157,PW06157!,68,126,67,116,1,10,0,
19990000007501,BBUser07500,PW07500!,68,128,68,128,0,0,0,
19990000007754,BBUser07753,PW07753!,68,157,68,157,0,0,0,
19990000009413,BBUser09412,PW09412!,68,137,68,137,0,0,0,
19990000001034,BBUser01033,PW01033!,67,169,67,169,0,0,0,
19990000001240,BBUser01239,PW01239!,67,107,66,100,1,7,0,
19990000001296,BBUser01295,PW01295!,67,106,67,106,0,0,0,
19990000001516,BBUser01515,PW01515!,67,86,67,86,0,0,0,
19990000002127,BBUser02126,PW02126!,67,111,67,111,0,0,0,
19990000003341,BBUser03340,PW03340!,67,115,67,115,0,0,0,
19990000003580,BBUser03579,PW03579!,67,165,66,145,1,20,0,
19990000004045,BBUser04044,PW04044!,67,153,66,141,1,12,0,
19990000004604,BBUser04603,PW04603!,67,119,66,108,1,11,0,
19990000005619,BBUser05618,PW05618!,67,113,65,90,2,23,0,
19990000006829,BBUser06828,PW06828!,67,206,64,154,3,52,0,
19990000007456,BBUser07455,PW07455!,67,118,66,102,1,16,0,
19990000007739,BBUser07738,PW07738!,67,160,67,160,0,0,0,
19990000008255,BBUser08254,PW08254!,67,131,66,113,1,18,0,
19990000009116,BBUser09115,PW09115!,67,115,67,115,0,0,0,
19990000000806,BBUser00805,PW00805!,66,126,66,126,0,0,0,
19990000001505,BBUser01504,PW01504!,66,129,65,120,1,9,0,
